time_s,dist_m,vel_ms,accel_ms2
5.1782,0.0075,0.0081,-0.0114
5.1894,0.0076,0.0081,-0.0125
5.2006,0.0077,0.0072,-0.0136
5.2117,0.0078,0.0059,-0.0146
5.2229,0.0078,0.0047,-0.0157
5.2340,0.0079,0.0039,-0.0149
5.2452,0.0079,0.0034,-0.0141
5.2564,0.0079,0.0027,-0.0133
5.2675,0.0080,0.0008,-0.0124
5.2787,0.0080,0.0008,-0.0116
5.2898,0.0080,0.0024,-0.0108
5.3010,0.0080,0.0010,-0.0100
5.3122,0.0080,-0.0001,-0.0092
5.3233,0.0080,0.0000,-0.0083
5.3345,0.0080,0.0002,-0.0075
5.3456,0.0080,0.0022,-0.0067
5.3568,0.0081,0.0015,-0.0059
5.3680,0.0080,0.0004,-0.0051
5.3791,0.0081,0.0020,-0.0042
5.3903,0.0081,0.0020,-0.0034
5.4014,0.0081,0.0024,-0.0026
5.4126,0.0081,0.0042,-0.0018
5.4238,0.0082,0.0038,-0.0010
5.4349,0.0082,0.0033,0.0005
5.4461,0.0083,0.0038,0.0019
5.4572,0.0083,0.0042,0.0034
5.4684,0.0084,0.0040,0.0048
5.4796,0.0084,0.0033,0.0063
5.4907,0.0084,0.0036,0.0077
5.5019,0.0085,0.0041,0.0092
5.5130,0.0085,0.0042,0.0106
5.5242,0.0086,0.0051,0.0121
5.5354,0.0086,0.0060,0.0135
5.5465,0.0087,0.0051,0.0149
5.5577,0.0088,0.0035,0.0164
5.5688,0.0088,0.0039,0.0178
5.5800,0.0088,0.0048,0.0193
5.5912,0.0089,0.0052,0.0207
5.6023,0.0090,0.0060,0.0222
5.6135,0.0090,0.0062,0.0236
5.6246,0.0091,0.0071,0.0251
5.6358,0.0092,0.0082,0.0229
5.6470,0.0093,0.0080,0.0208
5.6581,0.0094,0.0075,0.0186
5.6693,0.0095,0.0072,0.0164
5.6804,0.0095,0.0078,0.0143
5.6916,0.0096,0.0083,0.0121
5.7028,0.0097,0.0072,0.0100
5.7139,0.0098,0.0069,0.0078
5.7251,0.0099,0.0075,0.0056
5.7362,0.0100,0.0075,0.0035
5.7474,0.0100,0.0083,0.0013
5.7586,0.0101,0.0098,-0.0008
5.7697,0.0103,0.0128,-0.0030
5.7809,0.0104,0.0158,-0.0052
5.7920,0.0106,0.0153,-0.0073
5.8032,0.0108,0.0142,-0.0095
5.8144,0.0109,0.0143,-0.0116
5.8255,0.0111,0.0143,-0.0138
5.8367,0.0112,0.0144,-0.0137
5.8478,0.0114,0.0134,-0.0136
5.8590,0.0115,0.0116,-0.0135
5.8702,0.0117,0.0101,-0.0134
5.8813,0.0118,0.0108,-0.0133
5.8925,0.0119,0.0113,-0.0133
5.9036,0.0120,0.0079,-0.0132
5.9148,0.0121,0.0060,-0.0131
5.9260,0.0122,0.0062,-0.0130
5.9371,0.0122,0.0040,-0.0129
5.9483,0.0122,0.0025,-0.0128
5.9594,0.0123,0.0019,-0.0127
5.9706,0.0123,0.0003,-0.0126
5.9818,0.0123,-0.0001,-0.0125
5.9929,0.0123,0.0001,-0.0124
6.0041,0.0123,-0.0001,-0.0123
6.0152,0.0123,0.0005,-0.0122
6.0264,0.0123,0.0022,-0.0122
6.0376,0.0123,0.0033,-0.0098
6.0487,0.0124,0.0019,-0.0075
6.0599,0.0124,0.0014,-0.0051
6.0710,0.0124,0.0023,-0.0028
6.0822,0.0124,0.0008,-0.0005
6.0934,0.0124,0.0009,0.0019
6.1045,0.0124,0.0028,0.0042
6.1157,0.0125,0.0041,0.0066
6.1268,0.0125,0.0064,0.0089
6.1380,0.0126,0.0086,0.0112
6.1492,0.0127,0.0104,0.0136
6.1603,0.0129,0.0109,0.0159
6.1715,0.0130,0.0100,0.0182
6.1826,0.0131,0.0086,0.0206
6.1938,0.0132,0.0051,0.0229
6.2050,0.0132,0.0026,0.0253
6.2161,0.0132,0.0024,0.0276
6.2273,0.0132,0.0003,0.0299
6.2384,0.0132,-0.0006,0.0272
6.2496,0.0132,0.0006,0.0244
6.2608,0.0132,0.0003,0.0216
6.2719,0.0132,-0.0002,0.0188
6.2831,0.0132,0.0004,0.0160
6.2942,0.0132,0.0026,0.0132
6.3054,0.0133,0.0048,0.0104
6.3166,0.0134,0.0060,0.0077
6.3277,0.0134,0.0082,0.0049
6.3389,0.0135,0.0109,0.0021
6.3500,0.0137,0.0137,-0.0007
6.3612,0.0138,0.0167,-0.0035
6.3724,0.0140,0.0187,-0.0063
6.3835,0.0143,0.0177,-0.0091
6.3947,0.0144,0.0157,-0.0119
6.4058,0.0146,0.0183,-0.0146
6.4170,0.0148,0.0221,-0.0174
6.4282,0.0151,0.0229,-0.0202
6.4393,0.0154,0.0241,-0.0215
6.4505,0.0156,0.0246,-0.0228
6.4616,0.0159,0.0247,-0.0242
6.4728,0.0162,0.0241,-0.0255
6.4840,0.0164,0.0212,-0.0268
6.4951,0.0167,0.0172,-0.0281
6.5063,0.0168,0.0115,-0.0294
6.5174,0.0169,0.0062,-0.0307
6.5286,0.0170,0.0025,-0.0321
6.5398,0.0170,0.0001,-0.0334
6.5509,0.0170,-0.0012,-0.0347
6.5621,0.0169,-0.0059,-0.0360
6.5732,0.0168,-0.0111,-0.0373
6.5844,0.0167,-0.0122,-0.0386
6.5956,0.0166,-0.0106,-0.0400
6.6067,0.0165,-0.0089,-0.0413
6.6179,0.0164,-0.0074,-0.0426
6.6290,0.0163,-0.0036,-0.0439
6.6402,0.0163,-0.0017,-0.0405
6.6514,0.0163,-0.0036,-0.0371
6.6625,0.0162,-0.0054,-0.0336
6.6737,0.0161,-0.0086,-0.0302
6.6848,0.0160,-0.0092,-0.0268
6.6960,0.0159,-0.0070,-0.0234
6.7072,0.0159,-0.0045,-0.0199
6.7183,0.0158,0.0004,-0.0165
6.7295,0.0159,0.0026,-0.0131
6.7406,0.0159,0.0039,-0.0097
6.7518,0.0160,0.0056,-0.0062
6.7630,0.0160,0.0026,-0.0028
6.7741,0.0160,-0.0001,0.0006
6.7853,0.0160,0.0002,0.0040
6.7964,0.0160,-0.0002,0.0075
6.8076,0.0160,-0.0018,0.0109
6.8188,0.0160,-0.0021,0.0143
6.8299,0.0160,-0.0022,0.0177
6.8411,0.0159,-0.0040,0.0177
6.8522,0.0159,-0.0040,0.0176
6.8634,0.0158,-0.0033,0.0176
6.8746,0.0158,-0.0050,0.0176
6.8857,0.0157,-0.0054,0.0175
6.8969,0.0157,-0.0041,0.0175
6.9080,0.0156,-0.0054,0.0174
6.9192,0.0156,-0.0064,0.0174
6.9304,0.0155,-0.0054,0.0174
6.9415,0.0154,-0.0046,0.0173
6.9527,0.0154,-0.0036,0.0173
6.9638,0.0154,-0.0028,0.0172
6.9750,0.0153,-0.0012,0.0172
6.9862,0.0153,0.0001,0.0171
6.9973,0.0153,-0.0001,0.0171
7.0085,0.0153,0.0013,0.0171
7.0196,0.0154,0.0024,0.0170
7.0308,0.0154,0.0026,0.0170
7.0420,0.0154,0.0056,0.0149
7.0531,0.0155,0.0122,0.0128
7.0643,0.0157,0.0180,0.0106
7.0754,0.0159,0.0211,0.0085
7.0866,0.0162,0.0233,0.0064
7.0978,0.0164,0.0222,0.0043
7.1089,0.0167,0.0175,0.0022
7.1201,0.0168,0.0125,0.0001
7.1312,0.0169,0.0077,-0.0021
7.1424,0.0170,0.0039,-0.0042
7.1536,0.0170,0.0010,-0.0063
7.1647,0.0170,-0.0001,-0.0084
7.1759,0.0170,-0.0001,-0.0105
7.1870,0.0170,0.0001,-0.0126
7.1982,0.0170,-0.0003,-0.0147
7.2094,0.0170,-0.0018,-0.0169
7.2205,0.0170,-0.0026,-0.0190
7.2317,0.0169,-0.0023,-0.0211
