timestamp_us,angle_counts,magnet_ok
6978548,3746,1
6982272,3715,1
6985996,3684,1
6989708,3654,1
6993432,3623,1
6997156,3594,1
7000868,3565,1
7004592,3533,1
7008316,3503,1
7012044,3472,1
7015768,3439,1
7019480,3411,1
7023204,3382,1
7026928,3352,1
7030636,3324,1
7034360,3299,1
7038084,3270,1
7041796,3243,1
7045520,3216,1
7049236,3186,1
7052960,3159,1
7056688,3130,1
7060400,3102,1
7064124,3074,1
7067848,3046,1
7071560,3014,1
7075284,2984,1
7079008,2953,1
7082720,2923,1
7086444,2892,1
7090156,2862,1
7093880,2829,1
7097604,2798,1
7101316,2766,1
7105040,2735,1
7108764,2702,1
7112472,2670,1
7116196,2633,1
7119920,2600,1
7123644,2566,1
7127372,2532,1
7131080,2498,1
7134804,2462,1
7138528,2426,1
7142240,2391,1
7145964,2357,1
7149688,2324,1
7153396,2291,1
7157120,2258,1
7160836,2226,1
7164560,2190,1
7168284,2155,1
7171996,2118,1
7175720,2083,1
7179444,2047,1
7183156,2011,1
7186880,1975,1
7190604,1939,1
7194312,1901,1
7198036,1866,1
7201748,1828,1
7205472,1792,1
7209196,1754,1
7212908,1718,1
7216632,1680,1
7220356,1644,1
7224064,1607,1
7227788,1571,1
7231504,1535,1
7235228,1501,1
7238952,1467,1
7242664,1431,1
7246388,1398,1
7250112,1364,1
7253820,1330,1
7257544,1299,1
7261268,1267,1
7264980,1234,1
7268704,1204,1
7272412,1174,1
7276140,1144,1
7279864,1115,1
7283572,1088,1
7287296,1061,1
7291020,1036,1
7294732,1010,1
7298456,984,1
7302172,957,1
7305888,931,1
7309604,905,1
7313316,879,1
7317032,854,1
7320748,830,1
7324460,804,1
7328176,777,1
7331892,750,1
7335608,724,1
7339324,698,1
7343036,675,1
7346752,650,1
7350472,625,1
7354184,599,1
7357900,574,1
7361616,548,1
7365332,524,1
7369048,501,1
7372756,475,1
7376472,449,1
7380188,423,1
7383900,400,1
7387616,375,1
7391332,351,1
7395048,324,1
7398764,299,1
7402476,273,1
7406192,249,1
7409908,225,1
7413620,202,1
7417336,179,1
7421052,155,1
7424764,132,1
7428480,109,1
7432196,85,1
7435912,60,1
7439628,39,1
7443340,16,1
7447056,0,1
7450764,4069,1
7454476,4046,1
7458200,4025,1
7461924,4002,1
7465648,3981,1
7469372,3959,1
7473080,3939,1
7476804,3918,1
7480528,3896,1
7484236,3875,1
7487960,3854,1
7491684,3833,1
7495392,3813,1
7499120,3791,1
7502832,3768,1
7506556,3749,1
7510280,3729,1
7513988,3712,1
7517712,3694,1
7521436,3673,1
7525144,3653,1
7528868,3633,1
7532592,3614,1
7536316,3594,1
7540040,3574,1
7543752,3554,1
7547476,3534,1
7551200,3513,1
7554908,3493,1
7558632,3475,1
7562356,3454,1
7566068,3434,1
7569792,3413,1
7573500,3393,1
7577224,3373,1
7580948,3353,1
7584660,3336,1
7588384,3318,1
7592108,3300,1
7595816,3281,1
7599540,3262,1
7603264,3242,1
7606972,3224,1
7610696,3205,1
7614408,3186,1
7618132,3168,1
7621856,3151,1
7625568,3133,1
7629292,3113,1
7633016,3093,1
7636728,3068,1
7640452,3048,1
7644172,3027,1
7647896,3007,1
7651620,2986,1
7655332,2964,1
7659056,2941,1
7662780,2917,1
7666492,2894,1
7670216,2870,1
7673940,2849,1
7677652,2827,1
7681376,2805,1
7685088,2783,1
7688812,2760,1
7692536,2739,1
7696244,2718,1
7699968,2697,1
7703692,2676,1
7707404,2654,1
7711128,2633,1
7714852,2613,1
7718576,2592,1
7722300,2573,1
7726012,2553,1
7729736,2535,1
7733460,2517,1
7737172,2501,1
7740896,2483,1
7744620,2464,1
7748328,2445,1
7752052,2428,1
7755764,2409,1
7759488,2393,1
7763212,2376,1
7766920,2360,1
7770644,2346,1
7774368,2330,1
7778080,2315,1
